Id,Name,Longitude,Latitude
75,PAYNEHAM ROAD -MAGILL ROAD -FULLARTON ROAD,138.622638798375,-34.9157233396212
76,PAYNEHAM ROAD -NELSON ST -STEPHEN TERRACE,138.627929958488,-34.9094622836344
77,PORTRUSH ROAD - PAYNEHAM ROAD,138.639055472917,-34.8966074033053
78,LOWER NTH EAST ROAD -MONTACUTE ROAD -GLYNBURN ROAD,138.656491994712,-34.8894535662114
79,ST BERNARDS ROAD -MAGILL ROAD -PENFOLD ROAD,138.676046170681,-34.9130337880892
80,GLYNBURN ROAD - MAGILL ROAD,138.658291773507,-34.913918828766
81,PORTRUSH ROAD - MAGILL ROAD,138.640515012598,-34.9148098423762
82,PORTRUSH ROAD -EAST PARADE -THE PARADE,138.640995132814,-34.9209763508038
83,GLYNBURN ROAD - THE PARADE,138.65876254479,-34.9200760995319
86,GLYNBURN ROAD - KENSINGTON ROAD,138.659217880794,-34.9260076937081
87,PORTRUSH ROAD - KENSINGTON ROAD,138.641469001646,-34.9269804640213
88,PORTRUSH ROAD - GREENHILL ROAD,138.642422393336,-34.9391780967124
90,NORTH EAST ROAD  INNES ROAD,138.647948883252,-34.8629106642864
92,PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD,138.644017733613,-34.9633779392174
93,FULLARTON ROAD - GLEN OSMOND ROAD,138.625051097186,-34.946312866511
94,FULLARTON ROAD - CROSS ROAD,138.626429849015,-34.9645587991668
95,UNLEY ROAD -CROSS ROAD -BELAIR ROAD,138.608608163271,-34.9654800757818
96,GOODWOOD ROAD - CROSS ROAD,138.590776345187,-34.9663624626121
97,SOUTH ROAD - CROSS ROAD,138.572756916074,-34.9672835386516
98,ANZAC HIGHWAY  - SOUTH ROAD,138.571941675001,-34.9529789342516
99,MARION ROAD - ANZAC HIGHWAY,138.554771558413,-34.9641009456737
100,MARION ROAD - CROSS ROAD,138.555098680248,-34.968200187777
101,ANZAC HIGHWAY -CROSS ROAD,138.548206039577,-34.9683496148105
102,MORPHETT ROAD - ANZAC HIGHWAY,138.537691968521,-34.974969836608
104,BRIGHTON ROAD -DIAGONAL ROAD -PIER STREET,138.520566700473,-34.9850239645268
105,BRIGHTON ROAD - OAKLANDS ROAD,138.521471030394,-34.9971670015615
106,MORPHETT ROAD - OAKLANDS ROAD,138.539282770965,-34.9960962492948
107,MARION ROAD -DAWS ROAD -OAKLANDS ROAD,138.557013690545,-34.9936780610598
108,SOUTH ROAD - DAWS ROAD,138.574895310465,-34.9928017742673
109,GOODWOOD ROAD -SPRINGBANK ROAD -DAWS ROAD,138.592764175344,-34.991976674478
110,BELAIR ROAD -SPRINGBANK ROAD -KAYS ROAD,138.610393721056,-34.9899542711202
111,SOUTH ROAD-AYLIFFES ROAD-SHEPHERDS HILL ROAD,138.576093208968,-35.0112336415822
112,SOUTH ROAD - STURT ROAD,138.569841366211,-35.016634525652
113,MARION ROAD - STURT ROAD,138.558857738831,-35.0171441578196
114,MARION ROAD -SOUTH ROAD -FLAGSTAFF ROAD,138.559433136335,-35.0258007337883
115,SOUTH ROAD - SEACOMBE ROAD,138.557429133571,-35.0283295474767
116,DIAGONAL ROAD - STURT ROAD,138.549518568113,-35.0176229221479
117,DIAGONAL ROAD - MORPHETT ROAD,138.540512242131,-35.0117434340715
118,MORPHETT ROAD - STURT ROAD,138.540963485797,-35.0182610953014
119,EASTERN PDE - FRANCIS ST,138.522694558354,-34.838570461503
120,BRIGHTON ROAD -  NORTH OF JETTY ROAD,138.522898240334,-35.0163159647816
121,BRIGHTON ROAD -STURT ROAD,138.523128826751,-35.0192053186892
122,BRIGHTON ROAD - SEACOMBE ROAD,138.523967651776,-35.0302652193342
124,DIAGONAL ROAD - OAKLANDS ROAD,138.530457018068,-34.9967011941392
125,ANZAC HWY-TAPLEYS HILL ROAD,138.519900459454,-34.9762482034936
126,PORT ROAD - JAMES CONDON DR - GEORGE STREET,138.578580023289,-34.918621116363
127,PARK TERRACE - BUNDEYS ROAD RN,138.612573147961,-34.9088188494511
128,PAYNEHAM ROAD - OG ROAD,138.642591594253,-34.8950083083682
129,PORT ROAD -FINDON ROAD -ABERFELDY AVENUE,138.53064274223,-34.8780904624689
130,PROSPECT ROAD - FITZROY TERRACE,138.594730839961,-34.8988570469231
132,NORTH EAST ROAD  HAMPSTEAD ROAD,138.620044305175,-34.8842827047083
133,PROSPECT ROAD - REGENCY ROAD,138.593101095411,-34.8740880519567
134,SOUTH ROAD - REGENCY ROAD,138.57124872834,-34.8751046429599
135,MAGILL ROAD -OSMOND TERRACE -NELSON STREET,138.631648291936,-34.9152592986189
137,STURT ROAD - UNIVERSITY DRIVE RN,138.573231900008,-35.0164770404754
138,PORT ROAD - TAPLEYS HILL ROAD,138.514731494526,-34.8633966736886
139,FLAGSTAFF ROAD  N OF BONNEYVIEW ROAD,138.562924675271,-35.0329564141137
140,TAPLEYS HILL ROAD - WEST BEACH ROAD,138.517776706556,-34.9446447640115
141,LONSDALE ROAD - LANDER ROAD RN,138.525543626831,-35.0721065484333
142,NELSON ROAD -SEMAPHORE ROAD,138.502210531809,-34.8391068741162
144,DYSON ROAD - BEACH ROAD,138.486217803054,-35.1387154784042
146,SOUTH ROAD - MAJORS ROAD,138.559530464736,-35.0549468062524
148,NELSON STREET -ST VINCENT STREET -CHURCH PL,138.502417339985,-34.8449255910312
149,SALISBURY HWY - SHEPHERDSON ROAD,138.618453092699,-34.7880709406322
150,LOWER NORTH EAST ROAD - GORGE ROAD,138.664532233499,-34.8767439722272
151,PREXY - HANSON ROAD,138.545567577587,-34.8334272090439
152,MANTON STREET - ADAM STREET,138.573327454414,-34.9093031945733
153,NORTH EAST ROAD  WANDANA AV,138.663569736988,-34.8535478427409
154,DEQUETTEVILLE TERRACE -FLINDERS ST -BARTELS ROAD,138.619218430324,-34.9250137623516
