,site_no,hour_of_day,DestId,index
252,19,12,3020,285
253,19,13,3020,243
254,19,14,3020,202
255,19,15,3020,192
256,19,16,3020,156
257,19,17,3020,207
258,19,18,3020,181
259,19,19,3020,106
260,19,20,3020,77
261,19,21,3020,65
262,19,22,3020,60
263,19,23,3020,43
264,20,0,3021,13
265,20,1,3021,9
266,20,2,3021,5
267,20,3,3021,1
268,20,4,3021,5
269,20,5,3021,28
270,20,6,3021,60
271,20,7,3021,193
272,20,8,3021,219
273,20,9,3021,157
274,20,10,3021,212
275,20,11,3021,247
276,20,12,3021,283
277,20,13,3021,312
278,20,14,3021,250
279,20,15,3021,249
280,20,16,3021,223
281,20,17,3021,345
282,20,18,3021,255
283,20,19,3021,150
284,20,20,3021,78
285,20,21,3021,46
286,20,22,3021,41
287,20,23,3021,20
288,21,0,3022,9
289,21,1,3022,12
290,21,2,3022,8
291,21,3,3022,8
292,21,4,3022,14
293,21,5,3022,77
294,21,6,3022,188
295,21,7,3022,768
296,21,8,3022,1233
297,21,9,3022,708
298,21,10,3022,310
299,21,11,3022,296
300,21,12,3022,318
301,21,13,3022,285
302,21,14,3022,230
303,21,15,3022,177
304,21,16,3022,155
305,21,17,3022,232
306,21,18,3022,215
307,21,19,3022,120
308,21,20,3022,68
309,21,21,3022,52
310,21,22,3022,38
311,21,23,3022,17
312,22,0,3023,15
313,22,1,3023,7
314,22,2,3023,4
315,22,3,3023,7
316,22,4,3023,7
317,22,5,3023,29
318,22,6,3023,185
319,22,7,3023,411
320,22,8,3023,698
321,22,9,3023,389
322,22,10,3023,250
323,22,11,3023,184
324,22,12,3023,226
325,22,13,3023,227
326,22,14,3023,186
327,22,15,3023,192
328,22,16,3023,187
329,22,17,3023,233
330,22,18,3023,187
331,22,19,3023,132
332,22,20,3023,65
333,22,21,3023,55
334,22,22,3023,42
335,22,23,3023,15
336,23,0,3024,26
337,23,1,3024,16
338,23,2,3024,14
339,23,3,3024,14
340,23,4,3024,21
341,23,5,3024,78
342,23,6,3024,309
343,23,7,3024,342
344,23,8,3024,470
345,23,9,3024,393
346,23,10,3024,229
347,23,11,3024,205
348,23,12,3024,248
349,23,13,3024,208
350,23,14,3024,217
351,23,15,3024,212
352,23,16,3024,258
353,23,17,3024,303
354,23,18,3024,282
355,23,19,3024,205
356,23,20,3024,96
357,23,21,3024,80
358,23,22,3024,74
359,23,23,3024,32
360,25,0,3026,27
361,25,1,3026,15
362,25,2,3026,7
363,25,3,3026,6
364,25,4,3026,4
365,25,5,3026,60
366,25,6,3026,179
367,25,7,3026,241
368,25,8,3026,478
369,25,9,3026,322
370,25,10,3026,267
371,25,11,3026,225
372,25,12,3026,266
373,25,13,3026,251
374,25,14,3026,212
375,25,15,3026,254
376,25,16,3026,246
377,25,17,3026,341
378,25,18,3026,311
379,25,19,3026,247
380,25,20,3026,100
381,25,21,3026,106
382,25,22,3026,71
383,25,23,3026,36
384,27,0,5537,34
385,27,1,5537,32
386,27,2,4157,11
387,27,3,4157,11
388,27,4,5537,33
389,27,5,5537,122
390,27,6,5537,211
391,27,7,5537,534
392,27,8,5537,1100
393,27,9,5537,788
394,27,10,5537,584
395,27,11,5537,483
396,27,12,5537,591
397,27,13,5537,616
398,27,14,5537,547
399,27,15,5537,549
400,27,16,5537,672
401,27,17,5537,781
402,27,18,5537,645
403,27,19,5537,444
404,27,20,5537,252
405,27,21,5537,207
406,27,22,5537,160
407,27,23,5537,84
408,28,0,3029,110
409,28,1,3029,69
410,28,2,3029,43
411,28,3,3029,33
412,28,4,3029,56
413,28,5,3029,287
414,28,6,3029,641
415,28,7,3029,924
416,28,8,3029,1308
417,28,9,3029,859
418,28,10,3029,515
419,28,11,3029,490
420,28,12,3029,516
421,28,13,3029,503
422,28,14,3029,470
423,28,15,3029,462
424,28,16,3029,516
425,28,17,3029,646
426,28,18,3029,701
427,28,19,3029,480
428,28,20,3029,372
429,28,21,3029,329
430,28,22,3029,253
431,28,23,3029,191
432,29,0,3030,53
433,29,1,3030,43
434,29,2,3030,27
435,29,3,3030,12
436,29,4,3030,32
437,29,5,3030,187
438,29,6,3030,405
439,29,7,3030,607
440,29,8,3030,1014
441,29,9,3030,628
442,29,10,3030,431
443,29,11,3030,387
444,29,12,3030,378
445,29,13,3030,341
446,29,14,3030,298
447,29,15,3030,276
448,29,16,3030,270
449,29,17,3030,440
450,29,18,3030,394
451,29,19,3030,217
452,29,20,3030,171
453,29,21,3030,146
454,29,22,3030,138
455,29,23,3030,92
456,31,0,3032,25
457,31,1,3032,15
458,31,2,3032,16
459,31,3,3032,25
460,31,4,3032,64
461,31,5,3032,111
462,31,6,3032,285
463,31,7,3032,712
464,31,8,3032,997
465,31,9,3032,615
466,31,10,3032,370
467,31,11,3032,353
468,31,12,3032,436
469,31,13,3032,359
470,31,14,3032,300
471,31,15,3032,279
472,31,16,3032,326
473,31,17,3032,392
474,31,18,3032,437
475,31,19,3032,256
476,31,20,3032,158
477,31,21,3032,103
478,31,22,3032,77
479,31,23,3032,54
480,33,0,3034,31
481,33,1,3034,22
482,33,2,3034,18
483,33,3,3034,12
484,33,4,3034,41
485,33,5,3034,65
486,33,6,3034,245
487,33,7,3034,452
488,33,8,3034,770
489,33,9,3034,589
490,33,10,3034,484
491,33,11,3034,621
492,33,12,3034,626
493,33,13,3034,481
494,33,14,3034,367
495,33,15,3034,365
496,33,16,3034,430
497,33,17,3034,621
498,33,18,3034,744
499,33,19,3034,491
500,33,20,3034,236
501,33,21,3034,178
502,33,22,3034,118
503,33,23,3034,70
504,34,0,1346,23
505,34,1,1346,9
506,34,2,1346,4
507,34,3,1346,5
508,34,4,1346,10
509,34,5,1346,48
510,34,6,1346,154
511,34,7,1346,500
512,34,8,1346,812
513,34,9,1346,543
