date,trans,rain,eva,max_temp,min_temp,max_humid,min_humid,wind,solar
22/03/2013,3.52,0.28,0,21.48,13.64,84,42.4,3.126,17.248
23/03/2013,3.28,2.36,0,21.44,13.34,87,46.2,3.826,14.88
24/03/2013,3.58,4,0,23.42,12.94,90.2,44.4,3.048,17.774
25/03/2013,3.44,0.2,0,24.58,13.78,85.8,38.2,2.378,15.51
26/03/2013,4.48,0.08,0,28.5,13.82,75,28.4,2.632,18.506
27/03/2013,3.78,0.04,0,26.44,17.74,77.4,32.2,2.554,13.652
28/03/2013,0,0.28,0,25.3,16.04,86.4,37.6,2.096,0
29/03/2013,0,1.24,0,26.58,15.06,85.4,38.4,1.982,0
30/03/2013,0,0,0,25.98,13.96,88.6,35.8,2.356,0
31/03/2013,0,2.84,0,24.62,14.32,78.6,32.2,2.666,0
1/04/2013,4.04,0.4,0,26.62,14.28,81.6,34.2,2.4,17.922
2/04/2013,3.86,0.16,0,25.2,15.4,82.8,41.6,3.104,16.484
3/04/2013,3.66,0.24,0,22.98,14.04,79.8,39,2.702,18.148
4/04/2013,3.86,0.04,0,24.96,12.74,77.2,33.4,2.508,19.394
5/04/2013,4.06,0,0,27.7,12.98,76,25.8,2.088,19.368
6/04/2013,3.88,6.84,0,25.96,13.42,84,32.2,2.684,18.31
7/04/2013,3.88,0.04,0,25.56,14.58,76.2,33.6,2.988,15.146
8/04/2013,3.86,0.16,0,25.46,16.34,78.6,38,2.836,15.572
9/04/2013,2.72,4.88,0,22.08,15.76,93.2,45.2,2.844,11.424
10/04/2013,3.04,2,0,21.9,13.48,85,42.8,3.048,15.584
11/04/2013,3.16,0.4,0,21.46,12.74,81,39.6,3.152,15.364
12/04/2013,3.26,0.08,0,23.22,11.38,83,33.4,2.278,16.922
13/04/2013,3.04,0.04,0,23.26,11.16,78.6,33,1.934,15.43
14/04/2013,3.2,0.2,0,23.34,12.48,80.8,37,2.334,16.274
15/04/2013,3.34,0,0,24.3,12.48,75.8,34.8,2.348,17.036
16/04/2013,3.14,0,0,24.12,11.36,83.8,30.4,2.094,17.598
17/04/2013,3.2,0,0,25.44,11.8,79.6,30.2,1.944,16.762
18/04/2013,3.6,0.44,0,25.38,13.94,79.4,27.8,2.782,15.56
19/04/2013,3.06,0.16,0,23.78,13.48,74,31.2,2.038,14.766
20/04/2013,3.06,0.16,0,24.86,13.02,74.4,33.2,2.086,15.466
21/04/2013,3.34,1.52,0,23.58,14.22,86.4,32.6,3.47,10.294
22/04/2013,3.02,4.48,0,22.58,14.74,89.6,47,3.53,14.594
23/04/2013,2.26,3.56,0,20.36,12.08,88.8,43.4,2.224,11.418
